URL,Pageviews,Unique_Pageviews,Avg_Time_on_Page,Entrances,Bounce_Rate,%_Exit,OBJECTID
/opendata.dc.gov/datasets?keyword=june2015,971,896,0:02:06,49,54.00%,26.67%,74
/opendata.dc.gov/datasets/02923e4697804406b9ee3268a160db99_11,967,562,0:00:33,326,13.68%,19.86%,75
/opendata.dc.gov/datasets?q=structure,963,655,0:00:54,12,0.00%,7.17%,76
/opendata.dc.gov/datasets?q=metro,948,518,0:00:20,59,2.00%,3.27%,77
/opendata.dc.gov/datasets/ward-from-2012,941,738,0:03:12,38,10.20%,33.37%,78
/opendata.dc.gov/datasets/public-schools,936,707,0:02:05,13,15.79%,13.57%,79
/opendata.dc.gov/datasets/6cb6520725b0489d9a209a337818fad1_90,930,554,0:00:51,212,16.23%,16.45%,80
/opendata.dc.gov/datasets/a973c2c7b7c14a918859f3e38bdffdd2_42,922,490,0:00:34,103,5.88%,8.46%,81
/opendata.dc.gov/datasets/washington-dc-boundary,922,771,0:02:51,21,32.00%,23.97%,82
/opendata.dc.gov/datasets/urban-forestry-street-trees,897,637,0:01:39,81,24.47%,20.62%,83
/opendata.dc.gov/datasets/4ac321b2d409438ebd76a6569ad94034_5,894,475,0:00:47,98,18.81%,8.17%,84
/opendata.dc.gov/datasets/a3aefd57db394fd68d739556253dc44d_18,893,489,0:00:48,198,10.05%,11.87%,85
/opendata.dc.gov/datasets?page=2,889,692,0:00:29,11,9.09%,4.95%,86
/opendata.dc.gov/datasets?q=recreation,889,549,0:00:32,16,13.64%,5.29%,87
/opendata.dc.gov/datasets/historic-data-on-dc-buildings,889,614,0:01:40,24,10.71%,14.85%,88
/opendata.dc.gov/datasets/street-centerlines,866,681,0:02:34,47,26.53%,27.60%,89
/opendata.dc.gov/datasets?q=safety,855,514,0:00:52,182,4.40%,17.08%,90
/opendata.dc.gov/datasets?q=imagery,841,582,0:01:00,28,24.00%,11.18%,91
/opendata.dc.gov/datasets/e85b5321a5a84ff9af56fd614dab81b3_53,824,436,0:00:38,127,7.97%,8.13%,92
/opendata.dc.gov/datasets/245179183eee41e08852ff9d5dbd3bcb_4,817,400,0:00:49,61,7.81%,7.22%,93
/opendata.dc.gov/datasets/crime-incidents-in-2016,810,613,0:01:42,62,21.88%,20.00%,94
/opendata.dc.gov/datasets/parcel-lots,803,574,0:01:30,9,33.33%,11.83%,95
/opendata.dc.gov/datasets/287eaa2ecbff4d699762bbc6795ffdca_9,802,413,0:00:55,141,4.70%,10.35%,96
/opendata.dc.gov/datasets/computer-assisted-mass-appraisal-residential,802,505,0:01:55,116,21.88%,17.83%,97
/opendata.dc.gov/datasets/f6c3c04113944f23a7993f2e603abaf2_23,799,402,0:00:35,195,6.67%,10.26%,98
/opendata.dc.gov/datasets/e8299c86b4014f109fedd7e95ae20d52_61,775,431,0:01:23,98,11.82%,11.61%,99
/opendata.dc.gov/datasets/building-permits-in-2017,758,572,0:01:16,105,35.24%,22.69%,100
/opendata.dc.gov/datasets?page=2&q=transportation,753,587,0:00:22,6,33.33%,3.59%,101
/opendata.dc.gov/datasets/roads-all,749,608,0:02:11,22,11.54%,16.02%,102
/opendata.dc.gov/datasets/35034fcb3b36499c84c94c069ab1a966_27,741,382,0:00:25,82,5.81%,6.48%,103
/opendata.dc.gov/datasets?keyword=dec2016,716,340,0:00:02,4,0.00%,0.28%,104
/opendata.dc.gov/datasets?q=financials,715,454,0:00:34,15,15.79%,8.25%,105
/opendata.dc.gov/datasets/623fbbdcb31041278778f97aa033d262_2?uiTab=table,712,615,0:03:39,542,69.74%,66.15%,106
/opendata.dc.gov/datasets/35738eb6405f4bb0bfdceddb21ac3122_59,709,403,0:00:46,148,15.23%,11.00%,107
/opendata.dc.gov/datasets?q=picture,695,507,0:00:50,32,18.18%,17.84%,108
/opendata.dc.gov/datasets/6969dd63c5cb4d6aa32f15effb8311f3_8,694,378,0:01:02,101,19.61%,12.97%,109
/opendata.dc.gov/datasets/5d14ae7dcd1544878c54e61edda489c3_24,688,349,0:00:19,124,7.52%,7.41%,110
/opendata.dc.gov/datasets/integrated-tax-system-public-extract-property-sales,678,427,0:01:27,42,21.74%,13.13%,111
/opendata.dc.gov/datasets?q=parcel,675,350,0:00:35,17,16.67%,3.41%,112
/opendata.dc.gov/datasets/,675,382,0:00:39,157,6.59%,8.00%,113
/opendata.dc.gov/datasets/7241f6d500b44288ad983f0942b39663_10,671,358,0:01:06,61,4.17%,9.39%,114
/opendata.dc.gov/datasets/district-government-land-owned-operated-and-or-managed,671,496,0:02:37,41,14.29%,17.29%,115
/opendata.dc.gov/datasets?keyword=oct2016,657,313,0:00:05,23,0.00%,0.30%,116
/opendata.dc.gov/datasets/a1f7acf65795451d89f0a38565a975b3_5,657,342,0:00:44,134,15.33%,11.26%,117
/opendata.dc.gov/datasets/52a70a0438dc44818e97593d13d808ae_13,647,327,0:00:27,203,2.33%,7.88%,118
/opendata.dc.gov/datasets/23246020d6894453bdfcee00956df818_41,639,336,0:00:48,78,4.76%,10.80%,119
/opendata.dc.gov/datasets/affordable-housing,630,495,0:02:06,40,10.64%,19.05%,120
/opendata.dc.gov/datasets?keyword=feb2016,625,281,0:00:01,10,0.00%,0.48%,121
/opendata.dc.gov/datasets?page=2&q=education,620,413,0:00:29,3,66.67%,2.42%,122
/opendata.dc.gov/datasets/metro-lines,613,477,0:01:32,14,6.25%,11.58%,123
/opendata.dc.gov/datasets/grocery-store-locations,612,469,0:02:38,56,38.33%,18.95%,124
/opendata.dc.gov/datasets?page=2&q=demographic,605,381,0:00:19,13,15.38%,4.13%,125
/opendata.dc.gov/datasets/f21813094ed24fd5ba66a07b61a1acee_46,600,308,0:00:52,84,11.34%,12.67%,126
/opendata.dc.gov/datasets?q=public service,596,394,0:00:31,12,30.77%,5.54%,127
/opendata.dc.gov/datasets/dc3289eab3d2400ea49c154863312434_8,595,314,0:00:36,151,8.97%,10.59%,128
/opendata.dc.gov/datasets?q=income,590,412,0:00:40,17,50.00%,6.27%,129
/opendata.dc.gov/datasets?keyword=jan2016,588,274,0:00:25,3,0.00%,6.63%,130
/opendata.dc.gov/datasets?page=2&q=health,588,393,0:00:22,3,0.00%,2.89%,131
/opendata.dc.gov/datasets?page=2&q=property,587,407,0:00:23,6,16.67%,1.87%,132
/opendata.dc.gov/datasets/e3896b58a4e741d48ddcda03dae9d21b_51,583,325,0:00:32,49,6.00%,9.95%,133
/opendata.dc.gov/datasets?q=neighborhood,574,343,0:00:27,25,8.33%,3.31%,134
/opendata.dc.gov/datasets/c4b0cd43d50949e98e57de9f22b455fc_35,572,311,0:00:45,85,8.99%,11.19%,135
/opendata.dc.gov/datasets/crashes-in-the-district-of-columbia,570,394,0:02:31,133,4.32%,28.60%,136
/opendata.dc.gov/datasets/e53572ef8f124631b965709da8200167_23,568,278,0:00:43,90,2.13%,6.69%,137
/opendata.dc.gov/datasets/1b38bd7ce3704a25a38f35aa87a9517b_21,561,256,0:00:42,34,2.78%,6.77%,138
/opendata.dc.gov/datasets?keyword=jul2016,553,257,0:00:05,11,0.00%,0.90%,139
/opendata.dc.gov/datasets?page=3&q=transportation,551,413,0:00:27,1,0.00%,3.45%,140
/opendata.dc.gov/datasets?page=3,546,437,0:00:26,5,0.00%,3.30%,141
/opendata.dc.gov/datasets?q=schools,546,350,0:00:26,11,0.00%,2.38%,142
/opendata.dc.gov/datasets?keyword=may2016,544,249,0:00:07,8,0.00%,0.92%,143
/opendata.dc.gov/datasets/496533836db640bcade61dd9078b0d63_53,542,277,0:00:47,63,3.95%,7.93%,144
/opendata.dc.gov/datasets?q=water,531,380,0:00:27,15,60.00%,3.77%,145
/opendata.dc.gov/datasets?page=2&q=public safety,528,363,0:00:17,6,16.67%,2.65%,146
/opendata.dc.gov/datasets?q=may2017,526,319,0:00:18,11,0.00%,5.13%,147
/opendata.dc.gov/datasets/fd3479fdd5a74093a1435da94644a792_9,519,244,0:00:16,181,3.85%,9.44%,148
/opendata.dc.gov/datasets/155496f6b34247b5909fd1173f8163b5_0?uiTab=table,516,262,0:00:18,123,0.81%,2.52%,149
/opendata.dc.gov/datasets/crash-details-table,515,325,0:01:44,52,10.34%,17.28%,150
/opendata.dc.gov/datasets?keyword=aug2016,506,231,0:00:01,9,0.00%,0.79%,151
/opendata.dc.gov/datasets/metro-stations-in-dc,506,424,0:01:56,11,9.09%,20.55%,152
/opendata.dc.gov/datasets/census-tracts-by-median-income-2000,502,375,0:02:44,8,7.69%,20.72%,153
/opendata.dc.gov/datasets/92842dceac234b9ca1a8266fcfd57de7_21,497,233,0:00:42,76,22.37%,9.86%,154
/opendata.dc.gov/datasets/census-block-groups-2010,497,362,0:02:17,16,22.22%,17.71%,155
/opendata.dc.gov/datasets/parks-and-recreation-areas,497,394,0:02:04,11,9.09%,13.08%,156
/opendata.dc.gov/datasets?q=zoning,496,301,0:00:38,13,0.00%,4.23%,157
/opendata.dc.gov/datasets/c143846b7bf4438c954c5bb28e5d1a21_2,496,261,0:01:24,65,14.49%,12.90%,158
/opendata.dc.gov/datasets/f60a6d54bf2e4e12a779fd0ba3a68e7e_26,495,272,0:01:10,140,10.42%,18.79%,159
/opendata.dc.gov/datasets?q=population,494,341,0:00:41,13,16.67%,5.67%,160
/opendata.dc.gov/datasets/address-points,488,372,0:02:17,47,26.53%,29.92%,161
/opendata.dc.gov/datasets/metro-bus-stops,487,369,0:01:57,52,30.91%,20.74%,162
/opendata.dc.gov/datasets/metro-stations-regional,487,382,0:02:03,24,24.00%,21.56%,163
/opendata.dc.gov/datasets?q=performance,485,324,0:00:19,6,0.00%,3.92%,164
/opendata.dc.gov/datasets?q=roads,485,328,0:00:19,16,28.57%,3.92%,165
/opendata.dc.gov/datasets/a29b9dbb2f00459db2b0c3c56faca297_106,483,271,0:00:47,35,21.21%,9.11%,166
/opendata.dc.gov/datasets/ead6291a71874bf8ba332d135036fbda_58,483,271,0:00:56,53,9.09%,12.22%,167
/opendata.dc.gov/datasets/vision-zero-safety,483,357,0:01:16,35,29.27%,17.60%,168
/opendata.dc.gov/datasets/common-owner-polygon-lots,477,323,0:02:10,15,11.76%,23.69%,169
/opendata.dc.gov/datasets/402552223b314298b936f666ebe22c43_2,475,281,0:02:28,127,24.44%,26.74%,170
/opendata.dc.gov/datasets/homeless-shelter-locations,474,354,0:01:52,57,28.57%,16.46%,171
/opendata.dc.gov/datasets?q=sewer,473,259,0:00:26,68,0.00%,4.86%,172
/opendata.dc.gov/datasets/cabe9dcef0b344518c7fae1a3def7de1_5,473,250,0:00:43,76,8.54%,9.94%,173
/opendata.dc.gov/datasets/existing-land-use,473,344,0:02:20,15,27.78%,15.43%,174
/opendata.dc.gov/datasets/integrated-tax-system-public-extract,471,291,0:02:03,36,19.51%,15.07%,175
/opendata.dc.gov/datasets/homeless-service-facilities,468,332,0:01:31,30,8.57%,10.68%,176
/opendata.dc.gov/datasets/7e36b5f8c97f440ab45e31dc58ea9471_12,462,251,0:00:36,114,9.17%,13.42%,177
/opendata.dc.gov/datasets/e10abf49228b45d6b0892046e895f231_12,460,256,0:00:30,134,12.03%,14.35%,178
/opendata.dc.gov/datasets?q=bike,458,278,0:00:36,26,5.88%,5.90%,179
/opendata.dc.gov/datasets/6b05d209ce1f45f1b6c537fac8cec386_48,456,244,0:00:37,71,6.76%,9.43%,180
/opendata.dc.gov/datasets/street-segments,455,347,0:02:03,10,7.14%,25.93%,181
/opendata.dc.gov/datasets/city-service-requests-in-2015,453,282,0:02:27,15,21.43%,10.15%,182
